setup,size,size_bytes,lite_time_us,nccl_time_us,lite_busbw,nccl_busbw,nccl_cfg,nccl_log,nccl_label
2nx2g,128MiB,134217728,4839.53,6490.73,20.8,15.51,p2p4m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_p2p4m.log,NCCL tuned
2nx2g,256MiB,268435456,9718.25,12999.5,20.72,15.49,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
2nx2g,512MiB,536870912,19485.5,25950.0,20.66,15.52,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
2nx2g,1GiB,1073741824,39045.8,51830.4,20.62,15.54,ch2,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx2g_full_ch2.log,NCCL tuned
2nx4g,128B,128,15.24,16.99,0.01,0.01,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,256B,256,14.62,16.44,0.02,0.01,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,512B,512,15.28,17.2,0.03,0.03,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,1KiB,1024,15.65,17.39,0.06,0.05,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,2KiB,2048,16.2,17.55,0.11,0.1,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,4KiB,4096,16.54,17.86,0.22,0.2,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,8KiB,8192,17.63,18.46,0.41,0.39,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,16KiB,16384,20.19,19.73,0.71,0.73,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,32KiB,32768,17.1,21.57,1.68,1.33,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,64KiB,65536,18.4,23.55,3.12,2.43,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,128KiB,131072,28.42,31.34,4.04,3.66,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_ch4.log,NCCL tuned
2nx4g,256KiB,262144,38.6,51.06,5.94,4.49,p2p1m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_p2p1m.log,NCCL tuned
2nx4g,512KiB,524288,53.35,86.82,8.6,5.28,ring_simple,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_ring_simple.log,NCCL tuned
2nx4g,1MiB,1048576,79.22,109.42,11.58,8.39,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_ch4.log,NCCL tuned
2nx4g,2MiB,2097152,135.2,149.99,13.57,12.23,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_ch4.log,NCCL tuned
2nx4g,4MiB,4194304,223.34,255.5,16.43,14.36,p2p1m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_p2p1m.log,NCCL tuned
2nx4g,8MiB,8388608,418.69,457.69,17.53,16.04,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,16MiB,16777216,812.76,901.91,18.06,16.28,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,32MiB,33554432,1623.89,1870.6,18.08,15.7,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,64MiB,67108864,3261.81,3736.71,18.0,15.71,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,128MiB,134217728,6283.47,7446.51,18.69,15.77,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,256MiB,268435456,12611.4,14868.8,18.62,15.8,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,512MiB,536870912,25266.9,29752.6,18.59,15.79,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
2nx4g,1GiB,1073741824,50415.1,59741.9,18.64,15.73,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx4g_full_cross1.log,NCCL tuned
